hotel_name,district,price,rating,scraped_month,views
Summit View Kowloon,Kowloon City,3480,7.8,Apr,370
Grand Hyatt Hong Kong,Hong Kong Island,8327,8.9,Apr,1084
"Page148, Page Hotels",Yau Tsim Mong,4860,8.6,Apr,2855
Hotel ICON,Yau Tsim Mong,6789,8.8,Apr,1734
Four Seasons Hotel Hong Kong,Hong Kong Island,15222,9.4,Apr,307
Hyatt Centric Victoria Harbour,Hong Kong Island,6450,8.1,Apr,1822
"The Murray, Hong Kong, a Niccolo Hotel",Hong Kong Island,9040,8.9,Apr,304
The Langham Hong Kong,Yau Tsim Mong,7520,8.4,Apr,903
"Dorsett Wanchai, Hong Kong",Hong Kong Island,4477,7.5,Apr,1224
Lan Kwai Fong Hotel - Kau U Fong,Hong Kong Island,4862,7.8,Apr,742
Ibis Hong Kong Central & Sheung Wan,Hong Kong Island,3287,7.8,Apr,2779
"Dorsett Mongkok, Hong Kong",Yau Tsim Mong,4163,7.9,Apr,1426
"Cordis, Hong Kong",Yau Tsim Mong,5580,8.5,Apr,2611
Novotel Century Hong Kong,Hong Kong Island,4130,8.0,Apr,1212
Renaissance Hong Kong Harbour View Hotel,Hong Kong Island,6480,8.0,Apr,723
One-Eight-One Hotel & Serviced Residences,Hong Kong Island,6542,9.0,Apr,480
Prudential Hotel,Yau Tsim Mong,4073,7.4,Apr,1240
Conrad Hong Kong,Hong Kong Island,7680,8.2,Apr,449
The Kowloon Hotel,Yau Tsim Mong,5022,7.4,Apr,3406
W Hong Kong,Yau Tsim Mong,8910,8.6,Apr,368
"Holiday Inn Golden Mile, an IHG Hotel",Yau Tsim Mong,5820,8.2,Apr,2246
The Hari Hong Kong,Hong Kong Island,5696,8.7,Apr,1037
JW Marriott Hotel Hong Kong,Hong Kong Island,8586,8.3,Apr,423
Nathan Hotel,Yau Tsim Mong,5144,8.0,Apr,1334
"The Park Lane Hong Kong, a Pullman Hotel",Hong Kong Island,6756,8.0,Apr,1277
B P International,Yau Tsim Mong,4507,7.6,Apr,1965
Eaton HK,Yau Tsim Mong,4644,8.2,Apr,2758
"Gateway Hotel, Marco Polo",Yau Tsim Mong,6120,8.1,Apr,807
Xi Hotel,Yau Tsim Mong,4784,7.3,Apr,257
Hang Ho Hostel,Yau Tsim Mong,2484,7.2,Apr,337
Hotel COZi Wetland,Tin Shui Wai,2491,7.2,Apr,569
The Cityview - Chinese YMCA of Hong Kong,Yau Tsim Mong,3394,7.6,Apr,1387
Ovolo Central,Hong Kong Island,7332,7.9,Apr,189
Lychee Sunset Hotel Cheung Chau,Cheung Chau,2250,7.3,Apr,472
Summit View Kowloon,Kowloon City,3306,7.8,Apr,370
"Page148, Page Hotels",Yau Tsim Mong,4890,8.6,Apr,2855
Hotel ICON,Yau Tsim Mong,6983,8.8,Apr,1734
"Island Shangri-La, Hong Kong",Hong Kong Island,11115,8.8,Apr,400
"Kerry Hotel, Hong Kong",Kowloon City,7695,8.8,Apr,705
"Mandarin Oriental, Hong Kong",Hong Kong Island,15840,9.1,Apr,348
BEST WESTERN PLUS Hotel Hong Kong,Hong Kong Island,3312,7.1,Apr,2145
"Kowloon Shangri-La, Hong Kong",Yau Tsim Mong,8940,8.6,Apr,1057
"The Landmark Mandarin Oriental, Hong Kong",Hong Kong Island,12005,8.9,Apr,69
"Dorsett Wanchai, Hong Kong",Hong Kong Island,4408,7.5,Apr,1224
Lan Kwai Fong Hotel - Kau U Fong,Hong Kong Island,4961,7.8,Apr,742
Ramada Hong Kong Harbour View,Hong Kong Island,3258,5.3,Apr,1630
Jen Hong Kong by Shangri-La,Hong Kong Island,4256,8.4,Apr,702
Best Western Hotel Causeway Bay,Hong Kong Island,2689,6.3,Apr,1290
Nina Hotel Causeway Bay,Hong Kong Island,3876,8.1,Apr,1174
EAST Residences,Hong Kong Island,5760,8.8,Apr,358
Rosewood Hong Kong,Yau Tsim Mong,18000,8.8,Apr,196
B P International,Yau Tsim Mong,4532,7.6,Apr,1965
Harbour Grand Hong Kong,Hong Kong Island,4906,8.2,Apr,3775
