name,district,price,rating,month
Ibis Hong Kong Central & Sheung Wan,Hong Kong Island,"HK$ 1,862",7.8,Apr
Eaton HK,Yau Tsim Mong District,"HK$ 2,330",8.2,Apr
"Cordis, Hong Kong",Yau Tsim Mong District,"HK$ 3,050",8.5,Apr
Royal Park Hotel,Sha Tin District,"HK$ 1,837",8.0,Apr
"WM Hotel Hong Kong, Vignette Collection",Hong Kong,"HK$ 2,114",8.5,Apr
Royal Plaza Hotel,Yau Tsim Mong District,"HK$ 2,800",8.3,Apr
Regal Airport Hotel,Lantau,"HK$ 2,487",7.4,Apr
Hyatt Centric Victoria Harbour,Hong Kong Island,"HK$ 3,120",8.1,Apr
"Four Points by Sheraton Hong Kong, Tung Chung",Lantau,"HK$ 1,850",8.6,Apr
The Mira Hong Kong,Yau Tsim Mong District,"HK$ 3,090",8.0,Apr
B P International,Yau Tsim Mong District,"HK$ 1,864",7.6,Apr
Disney Explorers Lodge,Lantau,"HK$ 3,260",8.5,Apr
New World Millennium Hong Kong Hotel,Yau Tsim Mong District,"HK$ 2,963",8.2,Apr
Harbour Grand Hong Kong,Hong Kong Island,"HK$ 2,820",8.2,Apr
"Page148, Page Hotels",Yau Tsim Mong District,"HK$ 2,471",8.6,Apr
Hong Kong Disneyland Hotel,Lantau,"HK$ 4,900",8.3,Apr
Prudential Hotel,Yau Tsim Mong District,"HK$ 1,900",7.4,Apr
Harbour Plaza 8 Degrees,Kowloon City District,HK$ 938,7.2,Apr
The Silveri Hong Kong - MGallery,Lantau,"HK$ 2,520",8.3,Apr
Marco Polo Hongkong Hotel,Yau Tsim Mong District,"HK$ 2,736",7.3,Apr
The Royal Garden,Yau Tsim Mong District,"HK$ 2,164",7.9,Apr
Harbour Grand Kowloon,Kowloon City District,"HK$ 2,288",8.0,Apr
Hong Kong SkyCity Marriott Hotel,Lantau,"HK$ 2,800",8.5,Apr
"The Park Lane Hong Kong, a Pullman Hotel",Hong Kong Island,"HK$ 6,776",8.0,Apr
Nina Hotel Tsuen Wan West,Tsuen Wan District,"HK$ 1,479",7.6,Apr
